PARTID,ReligFraim,defect,Condition,gen,age,edu,ethnic,ethnic_TEXT,Nationality,lang,income,SC,FC,relig,CompFail1,CompFail2,CompFail3,CompFail4,CompFail1B,CompFail2B,CompFail3B,CompFail4B,TG_DV,Free_list,1st,LIST1,2nd,LIST2,3rd,LIST3,4th,LIST4,5th,LIST5,6th,LIST6,7th,LIST7,8th,LIST8,9th,LIST9,10th,LIST10,11th,LIST11,12th,LIST12,13th,LIST13,14th,LIST14,15th,LIST15,16th,LIST16,17th,LIST17,relig_chage,relig_chage_TEXT,new_Relig,new_Relig_TEXT,belief_levelChange,unsure_god,relig_service,pray,relig_text,god_belife,relig_tradition,god_experience,what_we_lookingat,were the Qs respect,changes to Qs,these_kinds_study,these_kinds_contin,Real
R_11iihEyeVMnuBXx,0,1,4,2,25,5,1,NA,American,English,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murder / Adultery / Stealing / Violence / Blasphemy / Lying / Other idols / Swearing / Dishonoring father and mother / Envy,Murder,Murder,Adultery,Adultery,Stealing,Theft,Violence,Violence,Blasphemy,Blasphemy,Lying,Dishonesty,Otheridols,Idolatry,Swearing,Cursing,Dishonoringfatherandmother,Disrespectful of Parents,Envy,Envy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,7,2,5,5,10,9,5,Religion,Yes,No,50000,1,NA
R_12AAk33Ob3eIWuT,0,0,1,2,33,5,1,NA,American,English,6,2,2,1,1,1,3,2,NA,NA,NA,NA,50,Lying / cheating / sinning / adultery / swearing / hateful heart / gluttony / avarice / lust / murder /  / ,Lying,Dishonesty,cheating,Cheating,sinning,Sin,adultery,Adultery,swearing,Cursing,hatefulheart,Hatred,gluttony,Greed,avarice,Greed,lust,Lust,murder,Murder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,3,5,1,2,2,5,5,2,How trust changes based on how similar or different people are to us.,yes,No,8700,1,4
R_1CfFAc8QMdPtR1S,0,0,4,2,27,4,1,NA,Spanish/french,english,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,murder. lying. disobeying parents. stealing. gossiping. cursing. not helping others. selfishness. greed. pride. adultery. ,murder,Murder,lying,Dishonesty,disobeyingparents,Disrespectful of Parents,stealing,Theft,gossiping,Gossip,cursing,Cursing,nothelpingothers,Unhelpfulness,selfishness,Selfishness,greed,Greed,pride,Pride,adultery,Adultery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,5,8,10,8,10,9,1,answering riddles? and beleifs?,yes,no,100,3,NA
R_1CjqvjC6uQorErD,1,1,3,1,25,2,1,NA,American,English,5,7,6,1,1,1,3,2,NA,NA,NA,NA,50,lying / murder / cheating / porn / stealing / cursing / drinking / over eating / abortion / not going to church,lying,Dishonesty,murder,Murder,cheating,Cheating,porn,Pornography,stealing,Theft,cursing,Cursing,drinking,Drugs/Alcohol,overeating,Overeating,abortion,Abortion,notgoingtochurch,Sabbath Maintenance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,3,1,10,10,10,10,5,No idea.,Yes.,No.,55000,3,7
R_1Cmfk0gDMh7yv3Y,0,1,3,2,54,4,1,NA,American; US,English,1,7,6,1,1,1,1,3,1,1,1,2,50,adultery / murder / war / hate / assault / rape / unkindness / greed / avarice / vanity / envy /  / ,adultery,Adultery,murder,Murder,war,War,hate,Hatred,assault,Violence,rape,Rape,unkindness,Cruelty,greed,Greed,avarice,Greed,vanity,Vanity,envy,Envy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,8,4,5,8,2,10,2,3,generosity based on religious beliefs,yes,unsure,12000,4,5
R_1d9RJSvucrp7Pfn,1,0,2,1,38,6,1,NA,United States,English,8,4,3,1,1,1,1,2,1,1,3,2,50,"Hate, speaking ill of God, unfaithfulness, ignorance, worship of others, greed, murder, bigotry, lack of prayer, apathy",Hate,Hatred,speakingillofGod,Blasphemy,unfaithfulness,Unfaithful,ignorance,Ignorance,worshipofothers,Idolatry,greed,Greed,murder,Murder,bigotry,Bigotry,lackofprayer,Not Praying,apathy,Apathy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,6,4,7,4,4,8,5,3,How religious people are,"Yes, I had no problems with what was asked",I can't think of any more,200,2,2
R_1dE9ZqlbfgmGUl5,1,1,1,2,48,6,1,NA,American,English,5,5,4,1,1,1,2,2,1,2,2,2,50,believing he's judging / living life according to an invisible deity's likes and dislikes / ignoring free will / worshiping rather than following living his example / not using your intellect / deferring decisions to ppl you decide are holy / surrendering your power to others / not questioning authority / being good for the sake of goodness / using religion to justify violence /  /  /  / ,believinghe'sjudging,Belief in Judgement,livinglifeaccordingtoaninvisibledeity'slikesanddislikes,Living a Life in Accordance with an Invisible Deity's Likes and Dislikes,ignoringfreewill,Ignoring Free-will,worshipingratherthanfollowinglivinghisexample,Worship before Practice,notusingyourintellect,Not Thinking,deferringdecisionstopplyoudecideareholy,Idolatry,surrenderingyourpowertoothers,Surrenduring Power to Others,notquestioningauthority,Not Questioning Authority,beinggoodforthesakeofgoodness,Being Good for the Sake of Goodness,usingreligiontojustifyviolence,Using Religion to Justify Violence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,2,3,8,1,9,8,4,selfishness and religion,"the wording ""what displeases God"" is a little fundamentalist and not really a part of the Protestant tradition I was raised with - sounds like fire and brimstone or Old Testament",what denomination ,1300,2,4
R_1DnJKgbSaxcXOTP,0,1,1,1,48,5,1,NA,USA,English,5,6,4,1,1,1,1,2,3,1,1,2,50,Murder / Bribery / Theft / Rape / Lying / Cheating / Pride / Unfaithful / Satanism / Torture,Murder,Murder,Bribery,Bribery,Theft,Theft,Rape,Rape,Lying,Dishonesty,Cheating,Cheating,Pride,Pride,Unfaithful,Unfaithful,Satanism,Satanism,Torture,Torture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,4,7,2,7,5,7,6,1,Not sure to be honest.,It was researching in my view.,Cannot say.,2000,4,4
R_1DokGNLqBSODzes,1,0,4,2,60,5,1,NA,United States of America,English,9,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,murder / theft / adultery / premarital sex / abortion / lying / gluttony / swearing / stealing / drinking,murder,Murder,theft,Theft,adultery,Adultery,premaritalsex,Premarital Sex,abortion,Abortion,lying,Dishonesty,gluttony,Greed,swearing,Cursing,stealing,Theft,drinking,Drugs/Alcohol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,8,2,7,3,4,4,2,whether our beliefs impact how we feel about everyday issues,yes,no,1200,4,NA
R_1DRTbCI2ugtPYVf,0,1,2,2,29,5,1,NA,American,English,7,4,4,1,1,1,3,2,NA,NA,NA,NA,50,hatred / greed / a closed mind / sloth / dishonesty / lack of loyalty / lack of self-discipline / adultery / murder / apathy,hatred,Hatred,greed,Greed,aclosedmind,Closed Mind,sloth,Laziness,dishonesty,Dishonesty,lackofloyalty,Disloyalty,lackofself-discipline,No Self-Control,adultery,Adultery,murder,Murder,apathy,Apathy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,5,5,6,7,8,7,3,Whether our responses would be related to the outcome of the game,yes,no,1000,3,3
R_1dvjg8Up5L0tQmv,0,0,2,2,51,6,1,NA,American,English,10,6,4,1,1,1,3,2,NA,NA,NA,NA,50,murder / taking his name in vain / coveting neighbors wife / lieing / cheating / stealing / not keeping the Sabbath holy / honoring false gods / not taking care of less fortunate / bullying / laziness,murder,Murder,takinghisnameinvain,Blasphemy,covetingneighborswife,Coveting Neighbor's Wife,lieing,Dishonesty,cheating,Cheating,stealing,Theft,notkeepingtheSabbathholy,Sabbath Maintenance,honoringfalsegods,Idolatry,nottakingcareoflessfortunate,Uncharitable,bullying,Bullying,laziness,Laziness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,8,1,4,1,4,2,1,peoples feelings on what is right and wrong and their level of trust,I didn't have any issues,no,470,1,4
R_1ewRffjqeNB3r9O,1,1,1,1,50,5,1,NA,American,english,8,3,2,1,1,1,3,2,NA,NA,NA,NA,50,Adultery / Murder / Greed / Hate / Violence / Envy / Lust / Covenant / Deception / Lying /  /  / ,Adultery,Adultery,Murder,Murder,Greed,Greed,Hate,Hatred,Violence,Violence,Envy,Envy,Lust,Lust,Covenant,Covetousness,Deception,Dishonesty,Lying,Dishonesty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,7,5,7,7,4,8,7,3,How we trust,"Yes , they were respectful ",Not sure,2500,1,4
R_1f0IRdjZiz88XRJ,0,1,2,1,49,5,1,NA,American ,English ,8,3,5,1,1,1,3,2,NA,NA,NA,NA,50,Being dishonest / Selfishness  / Cheating  / Hating  / Hurting others / Greed / Arrogance  / Pride / Lust / Violence ,Beingdishonest,Dishonesty,Selfishness,Selfishness,Cheating,Cheating,Hating,Hatred,Hurtingothers,Violence,Greed,Greed,Arrogance,Arrogance,Pride,Pride,Lust,Lust,Violence,Violence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,6,3,1,7,3,9,6,3,How religious beliefs affect actions ,Yes,No,5000,3,6
R_1f13NkSIjN2mtVq,1,0,4,2,60,6,1,NA,United States,English,3,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hate / Revenge / Injustice / Not Forgiving / Discrimination / Inequality / Violence / Selfishness / Misusing religion / Greed,Hate,Hatred,Revenge,Revenge,Injustice,Injustice,NotForgiving,Unforgiving,Discrimination,Discrimination,Inequality,Inequality,Violence,Violence,Selfishness,Selfishness,Misusingreligion,Misusing Religion,Greed,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,9,3,2,9,7,10,8,4,Mapping belief systems to education with a couple of checks to see how well I was paying attention.,Yes,I noticed you did not inquire how or why my beliefs changed.   Allow an unknown or indication I am estimating on the number of MTurk surveys I have actually completed.,20,2,NA
R_1F3vaDOMq4KClHf,1,1,2,2,54,4,1,NA,American,English,5,4,4,1,1,2,2,3,3,3,3,3,50,greed / racism / murder / domestic violence / infidelity / child abuse / rape / incest / immoral behavior / promiscuity / ,greed,Greed,racism,Racism,murder,Murder,domesticviolence,Violence,infidelity,Infidelity,childabuse,Child Abuse,rape,Rape,incest,Incest,immoralbehavior,Immorality,promiscuity,Promiscuity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,7,7,8,5,8,5,2,Religious views and generosity,Yes,No,150,2,6
R_1F9xuLUkRQneCtv,1,0,3,2,37,5,1,NA,American,English,3,1,2,1,1,1,3,2,NA,NA,NA,NA,50,lying / cursing / swearing / adultery / divorce / stealing / doing drugs / drinking excessively / being unkind / idolatry / murder / ,lying,Dishonesty,cursing,Cursing,swearing,Cursing,adultery,Adultery,divorce,Divorce,stealing,Theft,doingdrugs,Drugs/Alcohol,drinkingexcessively,Drugs/Alcohol,beingunkind,Cruelty,idolatry,Idolatry,murder,Murder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,1,8,10,10,10,10,5,How my giving the money or not lines up with my Christian beliefs,yes,no,5000,2,6
R_1Fbskp7owUeZiFS,1,0,4,1,28,5,1,NA,USA,english,9,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,sodomy / cheating / gambling / prostitution / immorality / violence / divorce / lying / revenge / backstabbing,sodomy,Sodomy,cheating,Cheating,gambling,Gambling,prostitution,Prostitution,immorality,Immorality,violence,Violence,divorce,Divorce,lying,Dishonesty,revenge,Revenge,backstabbing,Betrayal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,7,3,4,3,2,10,10,1,perceptions of religion,"yes, they were asked in a non-harsh manner.",n/a,9300,2,NA
R_1ff7lRH0gcGXtTA,0,1,4,2,57,4,1,NA,United States,English,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,cheating / lying / adultery / idol worship / vanity / pride / fighting / murder / animal abuse / child abuse,cheating,Cheating,lying,Dishonesty,adultery,Adultery,idolworship,Idolatry,vanity,Vanity,pride,Pride,fighting,Violence,murder,Murder,animalabuse,Abusing Animals,childabuse,Child Abuse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,2,2,3,2,8,4,2,How our belief or non-belief in God affects our relationships.,yes,no,3000,3,NA
R_1FKXTYkxXxEYO4S,1,1,4,2,37,4,2,NA,usa,english,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,child molestation / gay marriage / war mongers / violence / stealing / devil worship / harmful decisions / quitting / public drinking / killing animals,childmolestation,Child Abuse,gaymarriage,Gay Marriage,warmongers,Warmongering,violence,Violence,stealing,Theft,devilworship,Satanism,harmfuldecisions,Harmfulness,quitting,Quitting,publicdrinking,Drugs/Alcohol,killinganimals,Abusing Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,1,2,3,3,10,8,1,to see how decision are made in certain situations,yes,no,10000,1,NA
R_1FlX958hEphPwuH,1,1,3,2,60,5,1,NA,Americn,English,6,5,3,1,1,1,1,3,1,1,1,1,50,"hate, lying, adultery, disobedience, murder, jealousy, abuse, stealing, cheating, swearing, judging others, denying God",hate,Hatred,lying,Dishonesty,adultery,Adultery,disobedience,Disobedience,murder,Murder,jealousy,Jealousy,abuse,Abuse,stealing,Theft,cheating,Cheating,swearing,Cursing,judgingothers,Judgemental,denyingGod,Denying God,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,3,5,7,1,10,9,3,Generosity and my beliefs,yes,no,25,1,6
R_1fZ5s8mR98Pnt7e,0,0,4,1,43,4,1,NA,American,English,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,hate / war / killing / abuse / corruption / Anger / drug abuse / destruction / destroying environment / faithlessness /  / ,hate,Hatred,war,War,killing,Murder,abuse,Abuse,corruption,Corruption,Anger,Anger,drugabuse,Drugs/Alcohol,destruction,Destruction,destroyingenvironment,Environment,faithlessness,Atheism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,4,7,1,4,2,6,2,4,beliefs in a god,yes I think they were,no,5000,1,NA
R_1gbdQCm6FZOSP6k,0,0,3,2,55,5,1,NA,American,English,7,2,2,1,1,1,2,2,1,1,3,2,50,Hate / Greed / Dishonesty / Cruelty / Aggressiveness / Anger / Destruction / Waste / Hedonism / Gluttony,Hate,Hatred,Greed,Greed,Dishonesty,Dishonesty,Cruelty,Cruelty,Aggressiveness,Aggression,Anger,Anger,Destruction,Destruction,Waste,Wastefulness,Hedonism,Hedonism,Gluttony,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,6,6,10,6,10,8,1,To see how willing people are to share and if they are willing to trust a stranger.,Yes I think they were.,Maybe how we feel about the other participant.,5047,3,3
R_1GBVUujcj2yDn03,1,1,3,1,49,4,1,NA,United States,English,2,2,1,1,1,1,3,2,NA,NA,NA,NA,50,non-belief / killing / lying  / stealing / envy / lust / greed / dishonor / false idols / blasphemy,non-belief,Unfaithful,killing,Murder,lying,Dishonesty,stealing,Theft,envy,Envy,lust,Lust,greed,Greed,dishonor,Dishonor,falseidols,Idolatry,blasphemy,Blasphemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,6,1,7,3,8,9,3,How people use limited information about others to determine their trustworthiness.,Yes.,No.,50,3,1
R_1gbyKitfimsOaN7,1,0,1,1,39,5,2,NA,American,English,8,7,7,1,1,1,3,2,NA,NA,NA,NA,50,"sins, abortions, suicide , lying, hatred of each other , murder , stealing , disrespect, genocide , racism  ",sins,Sin,abortions,Abortion,suicide,Suicide,lying,Dishonesty,hatredofeachother,Hatred,murder,Murder,stealing,Theft,disrespect,Disrespectful,genocide,Genocide,racism,Racism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,1,3,5,2,8,8,5,Decision making and Religious beliefs,"Yes they did make sense , were respectful and very thoughtful.",No i cant think of any other way to have asked.,500,3,5
R_1GwXscvti5KgkWL,1,1,1,1,31,5,1,NA,American,English,5,4,4,1,1,1,3,2,NA,NA,NA,NA,50,Adultery / Stealing / Cursing / Laziness / Drinking / Doing drugs / Lying / Being hateful / Being unkind / Saying his name in vein / ,Adultery,Adultery,Stealing,Theft,Cursing,Cursing,Laziness,Laziness,Drinking,Drugs/Alcohol,Doingdrugs,Drugs/Alcohol,Lying,Dishonesty,Beinghateful,Hatred,Beingunkind,Cruelty,Sayinghisnameinvein,Blasphemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,10,1,7,10,8,10,10,5,To determine what people believe in.,"Yes, however I would capitalize the word God.",No.,3200,3,1
R_1Gxj38ZSMbz8KQN,1,1,2,2,46,4,2,NA,US ,English,4,4,4,1,1,3,1,2,1,1,1,2,50,Hate / Greed / Murder / Adultery / Lying / Committing Fraud / Abusing Children / Abusing Animals / Blasphemy / Not believing,Hate,Hatred,Greed,Greed,Murder,Murder,Adultery,Adultery,Lying,Dishonesty,CommittingFraud,Dishonesty,AbusingChildren,Child Abuse,AbusingAnimals,Abusing Animals,Blasphemy,Blasphemy,Notbelieving,Atheism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,7,7,10,6,10,10,5,Your religious beliefs,yes,not really,500,3,4
R_1H7hWbi5gS4Ar5A,0,1,2,1,29,5,3,NA,United States,English,6,6,6,1,1,1,3,2,NA,NA,NA,NA,50,lying / stealing / killing / Misleading / cheating / Hurting someone / Being selfish / Being disloyal / not praying / not believing,lying,Dishonesty,stealing,Theft,killing,Murder,Misleading,Dishonesty,cheating,Cheating,Hurtingsomeone,Violence,Beingselfish,Selfishness,Beingdisloyal,Disloyalty,notpraying,Not Praying,notbelieving,Atheism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,5,5,2,2,5,5,1,not sure,yes,no,5000,1,4
R_1hHj5bHdXzQ8Cr7,0,1,2,2,34,4,1,NA,usa,english,9,3,5,1,1,1,3,2,NA,NA,NA,NA,50,sinning / lying / stealing / being rude / swearing / disrespecting parents / not loving God / Coveting / Not loving your neighbor / being a jerk,sinning,Sin,lying,Dishonesty,stealing,Theft,beingrude,Rudeness,swearing,Cursing,disrespectingparents,Disrespectful of Parents,notlovingGod,Not Loving Him,Coveting,Covetousness,Notlovingyourneighbor,Unloving,beingajerk,Being a Jerk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,3,9,8,8,8,7,2,unsure,yes,no,5000,3,1
R_1hYUW6j1sP6Hhye,0,0,3,2,27,6,3,NA,usa,english,7,5,5,1,1,1,3,2,NA,NA,NA,NA,50,"sin, disobeying God, hurting others, unrighteousness, hate, not believing in Him, envy/jealousy, other idols/gods, murder, stealing, not honoring him, lying, Satan, ",sin,Sin,disobeyingGod,Disobeying Him,hurtingothers,Violence,unrighteousness,Unrighteousness,hate,Hatred,notbelievinginHim,Atheism,envy/jealousy,Envy,otheridols/gods,Idolatry,murder,Murder,stealing,Theft,nothonoringhim,Not Honoring Him,lying,Dishonesty,Satan,Satan,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,10,2,8,5,8,10,10,4,religious beliefs and how that might affect how much one gives - charity,yes - the questions were well thought out enough to connect with the religious person,no,100,2,2
R_1i9CipXSwSw4TOz,0,0,2,2,63,5,1,NA,American,English,4,7,7,1,1,1,1,2,2,2,3,2,50,Violence / Tears / Abuse / Sadness / Sin / Turning away from him / Not praying / Hurt / Pain / Cruelty / War / Not forgiving / ,Violence,Violence,Tears,Tears,Abuse,Abuse,Sadness,Sadness,Sin,Sin,Turningawayfromhim,Atheism,Notpraying,Not Praying,Hurt,Pain,Pain,Pain,Cruelty,Cruelty,War,War,Notforgiving,Unforgiving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,10,8,8,10,10,10,10,3,I'm not sure,Yes,Religious beliefs of family members or those we are close to,20,3,4
R_1ISshoJlE1Qpty5,1,0,2,2,39,4,1,NA,American,English,8,4,2,1,3,3,3,3,1,1,1,2,50,Swearing  / Lying / Fornication / Stealing  / Disrespect parents / Watching porn / Gluttony / Impure thoughts / Worshiping idols / Greed,Swearing,Cursing,Lying,Dishonesty,Fornication,Premarital Sex,Stealing,Theft,Disrespectparents,Disrespectful of Parents,Watchingporn,Pornography,Gluttony,Greed,Impurethoughts,Impure Thoughts,Worshipingidols,Idolatry,Greed,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,8,1,8,10,7,10,10,5,Religion and generosity,Yes.,No.,1500,3,7
R_1JLcjOyxuByQ0o6,0,0,3,2,38,5,1,NA,American,English,8,2,2,1,1,1,3,2,NA,NA,NA,NA,50,murder / rape / arson / lying/dishonesty / stealing / infidelity / cursing / selfishness / greed / disloyalty,murder,Murder,rape,Rape,arson,Arson,lying,Dishonesty,dishonesty,Dishonesty,stealing,Theft,infidelity,Infidelity,cursing,Cursing,selfishness,Selfishness,greed,Greed,disloyalty,Disloyalty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,2,9,5,5,4,2,2,2,"generosity, selfless giving to another person",yes,no,500,2,5
R_1KkkqkXehKcRu89,0,1,1,2,42,4,1,NA,American (Italian/Irish),English,7,3,3,1,1,1,3,2,NA,NA,NA,NA,50,"Hurting other people, killing, stealing,being unfaithful,lying,cheating others, being envious , being jealous, being greedy, not being charitable ",Hurtingotherpeople,Violence,killing,Murder,stealing,Theft,beingunfaithful,Unfaithful,lying,Dishonesty,cheatingothers,Cheating,beingenvious,Envy,beingjealous,Jealousy,beinggreedy,Greed,notbeingcharitable,Uncharitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,4,2,2,3,1,4,3,3,Religion ,Yes,No,1000,1,4
R_1Kx3sGaA2qzhq1V,1,1,4,2,42,6,1,NA,American,English,10,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,affairs / lying / swearing / cheating / disrepect / rudeness / meanness / Anger / Unforgiving,affairs,Adultery,lying,Dishonesty,swearing,Cursing,cheating,Cheating,disrepect,Disrespectful,rudeness,Rudeness,meanness,Cruelty,Anger,Anger,Unforgiving,Unforgiving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,4,1,7,3,10,10,3,no idea,yes,no,100000,2,NA
R_1kXsMTwNcODY2CC,0,1,4,2,23,5,2,NA,usa,english,7,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,lust / sex / indifference / hate / killing / stealing / dishonesty / rape / meanness / lust,lust,Lust,sex,Sex,indifference,Indifference,hate,Hatred,killing,Murder,stealing,Theft,dishonesty,Dishonesty,rape,Rape,meanness,Cruelty,lust,Lust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,6,5,6,7,6,7,6,3,not sure,na,no,2000,3,NA
R_1LAakIT2IyXsFEB,0,0,3,2,38,5,1,NA,American,English,7,7,7,1,1,2,2,2,2,3,2,2,0,"liars thieves,murderers,rapists,cheaters,non believers,robbers,child molesters,unfaithful / not praying / commiting a sin",liars,Dishonesty,thieves,Theft,murderers,Murder,rapists,Rape,cheaters,Cheating,nonbelievers,Atheism,robbers,Theft,childmolesters,Child Abuse,unfaithful,Unfaithful,notpraying,Not Praying,commitingasin,Sin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,1,8,9,9,10,10,5,decision making,"yes,very respectful",no,62000,1,2
R_1ly4OOu3HMyzFrn,1,0,2,2,42,6,1,NA,usa,english,7,2,6,1,1,1,3,2,NA,NA,NA,NA,50,"Lying, cheating, stealing, not honoring your mother, having idols, not honoring your father, not reading Bible, following another god, taking Lord's name in vain, hurting others",Lying,Dishonesty,cheating,Cheating,stealing,Theft,nothonoringyourmother,Disrespectful of Parents,havingidols,Idolatry,nothonoringyourfather,Disrespectful of Parents,notreadingBible,Not Reading Bible,followinganothergod,Idolatry,takingLord'snameinvain,Blasphemy,hurtingothers,Violence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,5,7,7,7,10,10,4,whether someone with similar beliefs you trust more,yes,no,8000,2,7
R_1M3Nn8W6moBqkSN,0,1,2,2,28,6,1,NA,American,English,6,5,3,1,1,1,3,2,NA,NA,NA,NA,50,sin / lying / murder / stealing / hurting others / blasphemy / using His name in vain / adultery / disrespect / feeling guilty,sin,Sin,lying,Dishonesty,murder,Murder,stealing,Theft,hurtingothers,Violence,blasphemy,Blasphemy,usingHisnameinvain,Blasphemy,adultery,Adultery,disrespect,Disrespectful,feelingguilty,Feeling Guilty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,2,7,8,3,10,8,5,Belief in God,"Yes, very much so",No,150,2,5
R_1mdOSJPB4p1goMh,1,0,3,2,25,5,1,NA,American,English,7,2,2,1,1,1,3,2,NA,NA,NA,NA,50,Sin / Lust / Hate / Jealousy / Gossip / Negativity / Rudeness / Laziness / Cheating / Lying / Killing / Hurting Others,Sin,Sin,Lust,Lust,Hate,Hatred,Jealousy,Jealousy,Gossip,Gossip,Negativity,Negativity,Rudeness,Rudeness,Laziness,Laziness,Cheating,Cheating,Lying,Dishonesty,Killing,Murder,HurtingOthers,Violence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,7,6,2,8,3,9,9,3,"Based on religious background, would you show greediness or be giving.",Yes,Not particularly,15,2,5
R_1mz5Ou5Iq3EtEIG,1,1,3,1,33,5,1,NA,American,English,7,4,6,1,1,1,3,2,NA,NA,NA,NA,0,Using his name in vain / Dishonesty / Adultery / Not respecting others / Greed / Envy / Lust / Murder / Laziness / Arrogance,Usinghisnameinvain,Blasphemy,Dishonesty,Dishonesty,Adultery,Adultery,Notrespectingothers,Disrespectful,Greed,Greed,Envy,Envy,Lust,Lust,Murder,Murder,Laziness,Laziness,Arrogance,Arrogance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,10,1,1,1,3,4,1,How someone's religious beliefs affect their trust level.,Yes.,No.,5500,3,5
R_1N3RaFgugRBKIl3,0,0,2,1,53,5,1,NA,usa,english,7,5,2,1,2,2,2,2,3,3,3,3,50,killing / stealing / sex before marriage / greed / lust / envy / dont go to church / rude / nasty / anger / swearing,killing,Murder,stealing,Theft,sexbeforemarriage,Premarital Sex,greed,Greed,lust,Dishonesty,envy,Envy,dontgotochurch,Sabbath Maintenance,rude,Rudeness,nasty,Cruelty,anger,Anger,swearing,Cursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,1,4,2,2,10,8,3,role others play in your decsions,yes,not sure,980,4,5
